person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
36,21860,RENT,6.0,EDUCATION,B,3492,8.84,1,0.16,N,11
52,87760,RENT,20.0,EDUCATION,B,13857,10.8,0,0.16,N,10
67,33952,RENT,15.0,PERSONAL,D,7748,,0,0.23,N,44
31,32691,RENT,6.0,DEBTCONSOLIDATION,A,6003,7.45,0,0.18,N,10
41,54191,RENT,5.0,VENTURE,C,18032,13.82,0,0.33,N,5
41,87057,RENT,4.0,PERSONAL,A,10832,6.51,1,0.12,N,3
65,29498,MORTGAGE,17.0,PERSONAL,A,9720,5.8,0,0.33,N,24
49,50556,RENT,24.0,DEBTCONSOLIDATION,B,19485,9.34,1,0.39,Y,30
57,60743,OWN,32.0,VENTURE,A,14423,7.09,0,0.24,Y,37
57,69324,RENT,2.0,MEDICAL,C,17802,,0,0.26,N,15
64,53541,RENT,34.0,VENTURE,B,17333,7.86,0,0.32,N,38
27,40801,RENT,2.0,HOMEIMPROVEMENT,A,3352,5.18,0,0.08,Y,2
46,32409,RENT,12.0,HOMEIMPROVEMENT,A,12701,5.55,1,0.39,N,13
46,51178,OWN,22.0,MEDICAL,B,2751,7.95,0,0.05,N,27
53,28679,RENT,33.0,MEDICAL,C,3657,13.46,0,0.13,N,30
40,11376,OWN,15.0,PERSONAL,B,3027,,0,0.27,N,7
49,60978,RENT,18.0,DEBTCONSOLIDATION,B,6524,10.27,0,0.11,N,13
52,77031,MORTGAGE,22.0,VENTURE,C,19735,11.78,0,0.26,Y,16
47,15040,MORTGAGE,28.0,EDUCATION,B,4099,10.01,0,0.27,N,24
66,29588,RENT,18.0,DEBTCONSOLIDATION,A,2289,6.72,0,0.08,N,11
52,66807,RENT,19.0,DEBTCONSOLIDATION,B,12315,8.67,0,0.18,N,3
24,137138,RENT,2.0,DEBTCONSOLIDATION,C,20289,13.69,0,0.15,N,2
67,49533,OWN,35.0,DEBTCONSOLIDATION,C,15542,12.21,0,0.31,N,45
38,34064,RENT,4.0,DEBTCONSOLIDATION,C,13259,13.26,0,0.39,N,13
23,44736,OWN,4.0,EDUCATION,E,3922,17.06,0,0.09,N,3
54,97483,OWN,6.0,HOMEIMPROVEMENT,A,7654,6.13,1,0.08,N,8
68,35490,MORTGAGE,35.0,HOMEIMPROVEMENT,E,3021,18.68,0,0.09,N,33
36,32872,OWN,3.0,EDUCATION,B,4624,10.41,0,0.14,N,2
63,38508,OWN,4.0,PERSONAL,C,7344,12.69,0,0.19,N,19
47,30434,RENT,3.0,DEBTCONSOLIDATION,A,8778,5.34,1,0.29,N,4
49,52121,MORTGAGE,8.0,EDUCATION,B,16716,9.12,0,0.32,N,21
48,110452,MORTGAGE,23.0,DEBTCONSOLIDATION,C,5225,,0,0.05,N,6
65,57615,RENT,17.0,PERSONAL,C,10209,13.57,1,0.18,Y,33
25,43209,MORTGAGE,2.0,PERSONAL,A,12892,,0,0.3,Y,5
54,42365,RENT,16.0,MEDICAL,B,16723,,0,0.39,N,20
60,22435,MORTGAGE,10.0,EDUCATION,A,5527,6.38,0,0.25,N,2
56,76233,MORTGAGE,16.0,VENTURE,G,4140,22.37,1,0.05,N,8
43,47149,RENT,8.0,VENTURE,D,12721,15.35,0,0.27,N,23
48,44790,MORTGAGE,23.0,PERSONAL,A,3587,6.33,0,0.08,N,19
68,241966,RENT,34.0,PERSONAL,D,19989,15.0,0,0.08,N,35
65,56918,RENT,18.0,MEDICAL,D,6004,15.36,0,0.11,Y,11
50,33661,RENT,19.0,EDUCATION,B,12279,7.64,0,0.36,N,16
54,39609,MORTGAGE,0.0,HOMEIMPROVEMENT,C,15301,13.55,1,0.39,N,27
52,87048,RENT,31.0,MEDICAL,B,33679,8.27,0,0.39,N,33
40,51877,RENT,21.0,PERSONAL,C,9400,11.59,0,0.18,N,11
51,23881,MORTGAGE,31.0,MEDICAL,B,8504,9.59,0,0.36,N,28
42,77622,RENT,17.0,PERSONAL,B,4810,10.0,0,0.06,Y,13
52,35099,RENT,28.0,PERSONAL,B,7080,,1,0.2,N,9
22,125072,RENT,3.0,EDUCATION,A,8408,7.44,1,0.07,N,2
37,84122,RENT,1.0,HOMEIMPROVEMENT,D,5153,15.15,1,0.06,N,15
44,39196,RENT,17.0,DEBTCONSOLIDATION,B,11199,10.08,0,0.29,N,3
61,93014,RENT,8.0,HOMEIMPROVEMENT,B,12055,8.27,0,0.13,N,18
50,50712,MORTGAGE,13.0,EDUCATION,D,18752,14.08,1,0.37,N,7
22,75085,MORTGAGE,2.0,EDUCATION,B,25193,10.83,0,0.34,N,2
59,62465,RENT,4.0,MEDICAL,B,4800,9.29,0,0.08,N,9
65,32106,RENT,29.0,VENTURE,E,2037,17.98,0,0.06,Y,34
43,35533,RENT,19.0,DEBTCONSOLIDATION,D,13664,16.16,0,0.38,N,4
69,82041,MORTGAGE,27.0,PERSONAL,A,27866,5.35,1,0.34,N,48
51,41465,RENT,13.0,PERSONAL,B,1992,9.01,0,0.05,N,18
66,40061,RENT,22.0,VENTURE,E,8312,,1,0.21,N,27
41,30407,MORTGAGE,5.0,HOMEIMPROVEMENT,B,12130,9.77,0,0.4,N,8
42,60584,RENT,14.0,HOMEIMPROVEMENT,B,5510,9.44,0,0.09,Y,15
21,137483,RENT,0.0,VENTURE,A,34161,6.31,0,0.25,N,2
46,28745,MORTGAGE,11.0,DEBTCONSOLIDATION,A,9005,5.11,0,0.31,N,25
61,49618,MORTGAGE,37.0,MEDICAL,C,17741,11.63,0,0.36,Y,26
21,99320,RENT,2.0,DEBTCONSOLIDATION,C,18565,11.7,0,0.19,N,2
45,47107,MORTGAGE,9.0,DEBTCONSOLIDATION,E,7817,19.92,0,0.17,N,4
36,61462,RENT,11.0,HOMEIMPROVEMENT,C,3065,11.69,0,0.05,N,11
59,28819,MORTGAGE,3.0,EDUCATION,A,7871,6.05,0,0.27,N,6
52,60727,RENT,30.0,EDUCATION,A,13094,6.11,0,0.22,N,21
28,44641,MORTGAGE,6.0,MEDICAL,F,14879,20.65,1,0.33,Y,7
62,80247,MORTGAGE,33.0,MEDICAL,B,12610,10.59,0,0.16,N,39
67,88760,MORTGAGE,37.0,DEBTCONSOLIDATION,A,20513,5.45,0,0.23,Y,36
58,178935,MORTGAGE,33.0,PERSONAL,D,1154,15.03,0,0.01,N,31
48,65500,OWN,13.0,EDUCATION,B,10746,10.32,0,0.16,N,19
61,57693,RENT,36.0,HOMEIMPROVEMENT,A,9678,6.98,0,0.17,N,26
45,54024,RENT,2.0,PERSONAL,D,7294,16.94,0,0.14,N,25
54,41085,MORTGAGE,21.0,EDUCATION,F,10574,20.34,1,0.26,N,31
69,58060,MORTGAGE,2.0,MEDICAL,A,3415,6.81,0,0.06,N,21
44,42289,RENT,15.0,VENTURE,D,2070,15.9,0,0.05,N,23
43,53328,MORTGAGE,12.0,PERSONAL,B,19638,8.42,0,0.37,N,4
32,94731,MORTGAGE,3.0,DEBTCONSOLIDATION,B,27082,8.9,0,0.29,N,12
26,29635,MORTGAGE,7.0,MEDICAL,D,11067,14.84,1,0.37,N,4
55,86676,MORTGAGE,5.0,DEBTCONSOLIDATION,E,8807,18.08,0,0.1,N,24
64,94708,RENT,31.0,MEDICAL,A,24224,7.41,0,0.26,N,17
39,46210,RENT,12.0,EDUCATION,A,8398,,0,0.18,N,4
20,16967,RENT,1.0,PERSONAL,A,5010,6.1,0,0.3,N,2
27,36173,RENT,7.0,PERSONAL,B,12603,10.92,1,0.35,N,6
65,93760,MORTGAGE,2.0,MEDICAL,A,12312,,0,0.13,N,26
35,48463,MORTGAGE,4.0,PERSONAL,B,14627,10.39,1,0.3,N,16
33,29742,MORTGAGE,5.0,MEDICAL,A,2345,5.14,1,0.08,N,4
31,38086,MORTGAGE,7.0,VENTURE,B,13374,9.48,0,0.35,Y,9
42,74630,RENT,7.0,EDUCATION,A,19301,5.97,1,0.26,N,3
34,64432,RENT,13.0,PERSONAL,D,8641,15.91,0,0.13,N,10
47,43500,RENT,26.0,HOMEIMPROVEMENT,A,16099,7.17,0,0.37,N,18
53,40806,RENT,34.0,DEBTCONSOLIDATION,B,14385,,0,0.35,N,20
21,40300,OWN,,PERSONAL,D,9644,14.83,1,0.24,Y,2
51,30908,RENT,1.0,PERSONAL,C,2611,13.21,1,0.08,N,12
42,109939,RENT,10.0,DEBTCONSOLIDATION,A,32657,6.26,0,0.3,Y,19
41,41724,RENT,21.0,PERSONAL,A,3078,5.95,0,0.07,Y,14
44,90091,MORTGAGE,22.0,DEBTCONSOLIDATION,C,11773,12.3,0,0.13,N,15
41,104889,RENT,11.0,PERSONAL,B,24763,7.53,1,0.24,Y,13
41,80753,RENT,19.0,DEBTCONSOLIDATION,C,6779,12.82,0,0.08,N,16
68,39505,RENT,12.0,EDUCATION,B,10450,8.93,1,0.26,N,24
61,59985,MORTGAGE,11.0,DEBTCONSOLIDATION,B,8150,9.37,0,0.14,N,41
25,48431,RENT,1.0,EDUCATION,B,17737,8.25,0,0.37,Y,3
34,31199,OWN,7.0,VENTURE,C,6718,13.75,1,0.22,N,9
62,57651,MORTGAGE,34.0,PERSONAL,D,14861,14.55,0,0.26,Y,24
56,27186,OWN,4.0,EDUCATION,A,4636,5.57,0,0.17,N,6
52,88773,MORTGAGE,6.0,HOMEIMPROVEMENT,B,31284,10.72,0,0.35,N,3
27,38858,RENT,3.0,MEDICAL,A,7044,,0,0.18,Y,3
63,54207,RENT,,DEBTCONSOLIDATION,B,1711,8.53,0,0.03,N,28
63,56480,RENT,6.0,MEDICAL,D,14706,16.63,0,0.26,N,43
24,43068,MORTGAGE,5.0,DEBTCONSOLIDATION,B,12694,8.95,0,0.29,N,5
58,65732,RENT,31.0,MEDICAL,E,11924,17.04,0,0.18,N,5
23,38659,RENT,1.0,DEBTCONSOLIDATION,C,14073,13.44,1,0.36,N,3
25,75784,OWN,0.0,DEBTCONSOLIDATION,E,16921,17.45,0,0.22,N,2
64,25009,OWN,38.0,EDUCATION,C,5272,12.39,0,0.21,N,28
51,52218,RENT,10.0,DEBTCONSOLIDATION,A,18813,6.28,0,0.36,N,16
49,129244,MORTGAGE,22.0,HOMEIMPROVEMENT,A,4420,5.53,0,0.03,N,19
66,29727,MORTGAGE,5.0,EDUCATION,B,3068,8.03,0,0.1,Y,41
54,34930,RENT,21.0,VENTURE,A,8159,6.4,0,0.23,N,21
59,63383,RENT,14.0,PERSONAL,B,5806,7.52,0,0.09,N,28
35,53626,MORTGAGE,7.0,HOMEIMPROVEMENT,B,7844,7.68,0,0.15,Y,8
32,58414,OWN,3.0,PERSONAL,E,12683,19.11,0,0.22,N,12
69,62604,RENT,,PERSONAL,B,20615,8.62,0,0.33,N,24
61,67329,RENT,37.0,MEDICAL,C,3906,13.71,0,0.06,N,21
49,85378,MORTGAGE,4.0,VENTURE,E,21575,19.43,0,0.25,N,18
38,60168,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20807,,1,0.35,N,3
36,43450,MORTGAGE,15.0,DEBTCONSOLIDATION,A,5057,5.22,0,0.12,Y,14
38,68616,RENT,0.0,MEDICAL,B,22578,8.9,1,0.33,N,13
47,126746,RENT,5.0,PERSONAL,B,12117,8.31,1,0.1,Y,20
45,45875,MORTGAGE,1.0,HOMEIMPROVEMENT,B,4665,8.35,0,0.1,N,6
56,30113,RENT,15.0,VENTURE,B,5735,9.18,0,0.19,N,28
45,85266,OTHER,22.0,MEDICAL,D,10348,16.63,0,0.12,N,13
42,46157,MORTGAGE,6.0,EDUCATION,B,16498,10.53,1,0.36,N,18
28,16542,RENT,7.0,MEDICAL,B,5207,,1,0.31,N,6
31,74885,MORTGAGE,9.0,EDUCATION,F,8882,20.19,0,0.12,Y,3
20,37508,RENT,1.0,HOMEIMPROVEMENT,A,6289,5.2,0,0.17,Y,2
20,46851,MORTGAGE,1.0,MEDICAL,B,14910,10.69,1,0.32,N,2
66,57872,RENT,37.0,DEBTCONSOLIDATION,C,8798,13.88,0,0.15,N,31
53,53919,RENT,27.0,MEDICAL,A,4408,6.33,0,0.08,N,7
51,69893,MORTGAGE,14.0,EDUCATION,B,18545,7.98,0,0.27,N,10
67,39428,MORTGAGE,30.0,HOMEIMPROVEMENT,A,14905,7.14,0,0.38,N,23
44,63357,RENT,21.0,MEDICAL,D,18643,16.5,0,0.29,N,11
59,43054,OWN,38.0,EDUCATION,B,14959,9.13,0,0.35,N,30
64,70926,RENT,2.0,VENTURE,B,5090,10.98,0,0.07,N,12
20,66681,RENT,0.0,EDUCATION,B,12033,9.59,0,0.18,N,2
35,30708,RENT,0.0,HOMEIMPROVEMENT,A,6690,5.65,0,0.22,N,13
58,84372,RENT,10.0,MEDICAL,A,31835,7.18,0,0.38,N,3
24,37497,RENT,4.0,VENTURE,B,14783,8.27,0,0.39,N,5
41,73425,RENT,5.0,PERSONAL,B,12394,10.74,1,0.17,N,22
48,58902,RENT,26.0,MEDICAL,B,3981,9.76,0,0.07,N,26
22,122895,RENT,2.0,DEBTCONSOLIDATION,B,4554,8.16,0,0.04,N,2
31,43838,RENT,0.0,HOMEIMPROVEMENT,B,13579,10.31,1,0.31,N,11
45,41164,MORTGAGE,2.0,PERSONAL,C,3389,12.48,0,0.08,N,10
35,48547,RENT,6.0,EDUCATION,A,9158,7.02,0,0.19,N,5
56,42125,MORTGAGE,37.0,EDUCATION,A,2014,5.1,0,0.05,N,18
41,73128,MORTGAGE,18.0,VENTURE,C,23113,13.05,0,0.32,N,10
48,21847,MORTGAGE,29.0,HOMEIMPROVEMENT,D,6335,16.93,0,0.29,N,26
33,28945,MORTGAGE,9.0,HOMEIMPROVEMENT,A,11218,5.15,0,0.39,N,9
47,28741,MORTGAGE,1.0,MEDICAL,B,4713,8.68,0,0.16,N,6
24,78838,RENT,5.0,HOMEIMPROVEMENT,B,18876,9.66,1,0.24,N,2
66,115301,OWN,9.0,MEDICAL,B,8585,10.49,0,0.07,N,27
68,46526,MORTGAGE,35.0,PERSONAL,C,5122,13.67,0,0.11,N,7
49,45052,OWN,16.0,VENTURE,A,10892,5.87,0,0.24,Y,17
65,50768,MORTGAGE,2.0,DEBTCONSOLIDATION,C,17838,13.9,0,0.35,N,2
24,87635,RENT,5.0,HOMEIMPROVEMENT,A,18301,5.08,1,0.21,N,2
31,30832,MORTGAGE,4.0,VENTURE,B,7723,9.4,0,0.25,N,6
35,55225,OWN,5.0,VENTURE,D,5374,16.19,0,0.1,N,8
45,79825,RENT,25.0,DEBTCONSOLIDATION,B,23443,10.24,0,0.29,N,12
45,62978,RENT,14.0,MEDICAL,A,1489,6.6,0,0.02,N,16
67,53894,MORTGAGE,,EDUCATION,F,1984,22.0,1,0.04,Y,25
40,80863,MORTGAGE,2.0,DEBTCONSOLIDATION,D,18344,14.57,1,0.23,Y,6
58,12687,RENT,30.0,DEBTCONSOLIDATION,C,4954,12.77,0,0.39,N,39
55,68798,MORTGAGE,15.0,EDUCATION,B,2782,9.8,0,0.04,Y,30
52,35346,RENT,20.0,MEDICAL,A,6983,6.08,0,0.2,N,15
49,19627,RENT,26.0,MEDICAL,E,2869,19.74,0,0.15,N,21
56,63297,RENT,37.0,PERSONAL,B,12496,8.23,0,0.2,N,12
42,97424,RENT,10.0,DEBTCONSOLIDATION,D,31268,15.59,1,0.32,N,5
29,45765,RENT,0.0,MEDICAL,B,7838,9.64,0,0.17,N,3
24,78939,RENT,5.0,DEBTCONSOLIDATION,B,14550,9.78,0,0.18,N,2
55,109769,MORTGAGE,20.0,EDUCATION,F,6702,20.66,1,0.06,N,5
53,94604,MORTGAGE,19.0,MEDICAL,B,14027,10.55,0,0.15,Y,11
50,111299,RENT,13.0,PERSONAL,A,33743,5.88,1,0.3,Y,2
29,71044,RENT,8.0,HOMEIMPROVEMENT,A,25459,5.79,1,0.36,N,3
38,50905,RENT,8.0,VENTURE,B,7032,8.59,1,0.14,N,13
51,22004,OWN,25.0,VENTURE,A,2825,5.64,0,0.13,N,20
20,43345,RENT,1.0,PERSONAL,B,12499,7.52,1,0.29,Y,2
24,32156,RENT,3.0,EDUCATION,B,12554,9.65,0,0.39,N,4
64,145142,MORTGAGE,36.0,PERSONAL,C,13470,13.83,0,0.09,N,45
23,44893,MORTGAGE,0.0,EDUCATION,B,4770,7.59,1,0.11,N,2
35,52135,RENT,15.0,VENTURE,F,1029,21.38,0,0.02,N,13
43,64585,RENT,15.0,VENTURE,A,9958,5.13,0,0.15,N,6
35,50101,RENT,13.0,VENTURE,B,16502,9.31,1,0.33,N,5
21,114407,MORTGAGE,0.0,MEDICAL,A,9806,6.93,0,0.09,N,2
68,35906,OWN,26.0,EDUCATION,C,10196,,0,0.28,N,14
47,54030,RENT,25.0,EDUCATION,F,3121,21.97,0,0.06,N,19
51,33818,MORTGAGE,27.0,PERSONAL,C,12318,13.15,0,0.36,N,31
46,25336,RENT,22.0,HOMEIMPROVEMENT,B,4009,7.74,1,0.16,N,13
39,36102,RENT,9.0,VENTURE,B,4819,9.0,1,0.13,N,17
43,48121,RENT,3.0,EDUCATION,D,8739,15.34,0,0.18,N,24
31,39551,RENT,9.0,PERSONAL,E,9215,17.0,1,0.23,Y,7
69,34675,RENT,24.0,DEBTCONSOLIDATION,F,5059,,0,0.15,N,29
54,24266,RENT,26.0,HOMEIMPROVEMENT,B,3910,7.97,0,0.16,N,8
52,47025,RENT,9.0,VENTURE,F,15674,20.86,1,0.33,N,25
52,23101,RENT,24.0,MEDICAL,A,2970,5.33,0,0.13,N,10
62,71684,MORTGAGE,2.0,EDUCATION,A,27114,7.14,0,0.38,Y,11
56,51083,RENT,5.0,DEBTCONSOLIDATION,A,13161,5.11,0,0.26,N,28
31,23652,RENT,9.0,HOMEIMPROVEMENT,A,2242,6.65,0,0.09,N,6
22,41998,MORTGAGE,2.0,EDUCATION,C,1712,13.86,1,0.04,N,3
20,33655,MORTGAGE,1.0,HOMEIMPROVEMENT,D,10485,15.85,0,0.31,N,2
52,57502,MORTGAGE,23.0,HOMEIMPROVEMENT,C,20250,13.49,0,0.35,N,12
59,95819,RENT,,EDUCATION,C,27250,11.78,0,0.28,N,30
29,19195,RENT,10.0,MEDICAL,B,7221,9.21,0,0.38,N,8
62,51922,MORTGAGE,29.0,EDUCATION,C,12855,13.91,0,0.25,N,14
63,45248,MORTGAGE,2.0,PERSONAL,B,7153,8.21,0,0.16,N,24
48,68574,RENT,10.0,VENTURE,D,6587,14.87,1,0.1,N,19
32,54535,MORTGAGE,,EDUCATION,C,9827,13.0,0,0.18,N,10
31,33658,RENT,12.0,HOMEIMPROVEMENT,C,10401,11.7,0,0.31,Y,10
50,41792,OTHER,30.0,DEBTCONSOLIDATION,B,8713,7.68,0,0.21,Y,30
65,32924,MORTGAGE,23.0,PERSONAL,D,7861,14.15,0,0.24,N,42
21,83952,MORTGAGE,2.0,MEDICAL,A,11804,5.6,0,0.14,N,2
69,49545,MORTGAGE,14.0,HOMEIMPROVEMENT,B,14979,8.67,1,0.3,Y,46
54,126829,MORTGAGE,33.0,HOMEIMPROVEMENT,C,2297,13.15,0,0.02,N,14
42,47556,RENT,14.0,HOMEIMPROVEMENT,B,15745,8.67,0,0.33,Y,6
36,34399,RENT,3.0,EDUCATION,D,1357,14.75,0,0.04,N,15
45,22997,RENT,2.0,MEDICAL,B,6102,9.46,1,0.27,N,13
27,19899,RENT,1.0,VENTURE,B,1240,8.43,0,0.06,N,2
48,22201,MORTGAGE,8.0,DEBTCONSOLIDATION,D,3604,15.72,0,0.16,N,2
45,56025,RENT,22.0,EDUCATION,B,19210,8.22,0,0.34,N,19
29,63219,RENT,6.0,DEBTCONSOLIDATION,B,9115,10.23,0,0.14,N,6
45,22234,OWN,6.0,EDUCATION,B,8281,9.82,0,0.37,N,22
53,76689,MORTGAGE,32.0,DEBTCONSOLIDATION,A,20942,5.63,0,0.27,N,25
60,38502,RENT,14.0,VENTURE,C,4860,13.95,0,0.13,Y,18
26,52754,RENT,6.0,MEDICAL,A,13443,5.41,0,0.25,N,3
23,109766,RENT,3.0,VENTURE,D,5447,14.81,0,0.05,N,2
69,76758,MORTGAGE,35.0,EDUCATION,C,21523,13.84,0,0.28,N,41
64,42861,RENT,12.0,EDUCATION,A,15927,5.76,0,0.37,N,29
30,31394,MORTGAGE,7.0,PERSONAL,C,1137,13.76,0,0.04,N,6
48,16715,RENT,29.0,PERSONAL,B,4734,8.28,0,0.28,N,18
55,34215,RENT,24.0,EDUCATION,A,2967,6.14,0,0.09,N,10
44,44109,MORTGAGE,18.0,HOMEIMPROVEMENT,A,7579,5.73,0,0.17,N,25
40,29923,RENT,18.0,VENTURE,B,5849,9.61,0,0.2,N,12
55,45906,RENT,36.0,PERSONAL,C,8167,11.58,0,0.18,N,31
29,50941,RENT,3.0,HOMEIMPROVEMENT,C,8466,12.7,0,0.17,N,5
56,43808,RENT,17.0,VENTURE,B,13349,9.73,0,0.3,N,26
28,35418,OWN,8.0,DEBTCONSOLIDATION,C,6515,12.37,0,0.18,N,8
43,53333,RENT,1.0,VENTURE,C,3019,12.08,0,0.06,N,21
54,61142,RENT,,PERSONAL,B,7174,8.47,0,0.12,N,11
68,28418,RENT,20.0,MEDICAL,C,8092,13.61,0,0.28,Y,36
54,99256,MORTGAGE,30.0,VENTURE,B,3355,8.57,0,0.03,N,2
67,46662,MORTGAGE,30.0,PERSONAL,D,1333,16.63,0,0.03,N,15
55,49484,OWN,36.0,PERSONAL,B,3562,9.5,0,0.07,N,6
37,69850,OWN,15.0,PERSONAL,D,15776,15.22,1,0.23,N,9
68,55083,RENT,32.0,EDUCATION,B,2795,9.01,0,0.05,N,45
58,78949,RENT,38.0,MEDICAL,A,16270,6.08,0,0.21,N,39
51,56588,RENT,19.0,MEDICAL,B,1253,10.97,0,0.02,N,25
43,36090,RENT,8.0,PERSONAL,B,4657,8.79,1,0.13,Y,24
42,58732,RENT,4.0,VENTURE,C,10615,11.12,0,0.18,Y,3
51,27670,OWN,3.0,VENTURE,B,4237,8.8,0,0.15,N,25
56,51755,OWN,6.0,EDUCATION,D,4331,15.09,0,0.08,N,5
31,48213,MORTGAGE,11.0,PERSONAL,C,2027,13.34,1,0.04,N,12
68,44176,RENT,16.0,PERSONAL,C,15199,13.65,1,0.34,N,6
32,45969,MORTGAGE,9.0,MEDICAL,A,14283,5.6,0,0.31,N,12
42,19131,MORTGAGE,4.0,PERSONAL,F,4994,20.01,0,0.26,N,14
44,37258,OWN,8.0,EDUCATION,D,1469,14.62,0,0.04,Y,9
54,51350,RENT,35.0,VENTURE,C,14781,11.41,0,0.29,Y,22
60,53099,RENT,8.0,MEDICAL,B,16120,,0,0.3,N,38
49,29324,RENT,28.0,EDUCATION,B,8660,7.66,1,0.3,Y,7
36,92305,RENT,13.0,EDUCATION,A,25289,5.56,0,0.27,N,16
68,31790,MORTGAGE,5.0,VENTURE,B,6983,8.04,0,0.22,N,33
39,79596,RENT,14.0,DEBTCONSOLIDATION,A,31195,6.71,0,0.39,N,16
67,60693,RENT,17.0,HOMEIMPROVEMENT,B,2093,,0,0.03,N,31
44,35485,MORTGAGE,16.0,MEDICAL,C,5789,12.03,0,0.16,N,12
41,119092,MORTGAGE,15.0,EDUCATION,B,3912,9.7,0,0.03,Y,8
32,26988,RENT,2.0,EDUCATION,B,6489,10.81,0,0.24,N,7
38,77619,MORTGAGE,9.0,DEBTCONSOLIDATION,D,15332,16.92,0,0.2,N,13
68,80845,RENT,17.0,PERSONAL,A,17564,5.93,0,0.22,N,27
55,35055,RENT,19.0,DEBTCONSOLIDATION,C,13259,11.11,0,0.38,Y,27
31,98344,RENT,8.0,VENTURE,A,21526,5.67,1,0.22,N,3
60,43259,OWN,12.0,VENTURE,A,4623,6.44,0,0.11,N,10
38,56632,MORTGAGE,13.0,PERSONAL,A,22113,6.67,0,0.39,N,17
31,55835,RENT,3.0,VENTURE,C,17006,12.18,1,0.3,Y,6
28,45836,OWN,1.0,MEDICAL,B,10755,9.6,0,0.23,N,4
26,73526,RENT,5.0,PERSONAL,D,5684,15.8,0,0.08,N,5
47,72892,OWN,12.0,EDUCATION,B,8854,9.29,0,0.12,N,4
33,20449,RENT,0.0,DEBTCONSOLIDATION,A,4632,6.14,1,0.23,N,14
50,94105,RENT,29.0,MEDICAL,C,23357,13.25,0,0.25,N,17
38,21348,MORTGAGE,2.0,MEDICAL,A,3357,6.14,0,0.16,N,18
66,82147,OWN,29.0,PERSONAL,C,7417,12.98,0,0.09,N,44
35,86107,RENT,1.0,VENTURE,A,18946,6.72,0,0.22,N,6
24,28410,RENT,5.0,VENTURE,B,2413,8.94,0,0.08,N,4
54,39918,RENT,12.0,VENTURE,C,11698,11.99,0,0.29,N,28
31,28201,RENT,2.0,MEDICAL,E,7504,17.52,1,0.27,N,3
44,44026,MORTGAGE,,MEDICAL,B,16428,9.12,0,0.37,N,10
40,42023,MORTGAGE,21.0,VENTURE,D,4654,16.19,0,0.11,N,14
55,72390,RENT,30.0,EDUCATION,A,15997,5.59,0,0.22,Y,31
42,94386,RENT,1.0,DEBTCONSOLIDATION,C,12971,11.89,0,0.14,N,7
35,98502,MORTGAGE,12.0,VENTURE,C,23482,12.46,0,0.24,N,4
58,37008,RENT,9.0,EDUCATION,A,9812,5.63,0,0.27,N,24
64,44151,OWN,24.0,MEDICAL,A,17565,6.0,0,0.4,N,13
61,21126,RENT,29.0,HOMEIMPROVEMENT,A,7829,6.32,0,0.37,N,42
58,32763,MORTGAGE,5.0,PERSONAL,B,11920,7.92,1,0.36,N,16
33,79413,OWN,2.0,EDUCATION,A,11487,5.2,0,0.14,N,2
50,109951,MORTGAGE,25.0,VENTURE,C,33625,11.24,0,0.31,N,19
24,26445,MORTGAGE,4.0,EDUCATION,F,7173,20.72,0,0.27,N,4
54,36452,RENT,11.0,HOMEIMPROVEMENT,A,6421,5.23,0,0.18,N,9
42,48377,MORTGAGE,1.0,PERSONAL,B,10691,9.55,0,0.22,N,12
48,56391,MORTGAGE,1.0,HOMEIMPROVEMENT,B,16208,8.59,0,0.29,N,18
62,32702,RENT,20.0,PERSONAL,D,10176,14.96,1,0.31,Y,28
30,60598,RENT,,PERSONAL,B,19748,8.7,1,0.33,N,4
37,38680,RENT,17.0,DEBTCONSOLIDATION,B,6516,8.54,0,0.17,N,6
66,48667,RENT,29.0,VENTURE,B,17509,,0,0.36,N,31
31,64417,RENT,8.0,EDUCATION,A,3620,6.23,0,0.06,N,3
28,49178,OWN,2.0,EDUCATION,A,18835,5.14,1,0.38,Y,8
29,39411,RENT,8.0,VENTURE,B,10200,8.63,0,0.26,N,4
63,46406,MORTGAGE,10.0,MEDICAL,A,12896,7.07,0,0.28,N,32
36,46902,RENT,7.0,DEBTCONSOLIDATION,B,1696,10.48,1,0.04,Y,17
57,40741,RENT,,DEBTCONSOLIDATION,A,3270,6.47,1,0.08,N,28
26,43070,RENT,1.0,VENTURE,B,10707,10.67,0,0.25,N,6
65,109024,RENT,18.0,MEDICAL,A,17060,6.13,0,0.16,N,27
32,64890,RENT,9.0,MEDICAL,E,10727,17.61,0,0.17,Y,8
59,42288,RENT,32.0,VENTURE,D,10005,14.56,1,0.24,N,30
61,69457,RENT,18.0,PERSONAL,A,25885,6.62,0,0.37,Y,40
28,41485,MORTGAGE,6.0,EDUCATION,B,10203,9.08,0,0.25,Y,8
69,88129,MORTGAGE,31.0,PERSONAL,B,30729,8.09,0,0.35,N,45
46,58972,RENT,4.0,PERSONAL,A,20795,6.31,1,0.35,N,14
21,46460,MORTGAGE,0.0,EDUCATION,B,15816,9.71,0,0.34,N,2
24,61319,MORTGAGE,1.0,MEDICAL,A,7717,5.74,0,0.13,Y,2
